abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
O-Phosphoryl-Ethanolamine transport in via proton symport		cpd00067[e] + cpd00285[e] <=> cpd00285	1281967918	H+[e] + Phosphoethanolamine[e] <=> H+ + Phosphoethanolamine	0	2		cpd00067[e] + cpd00285[e] <=> cpd00067 + cpd00285	rxn05716	1281967918	O-Phosphoryl-Ethanolamine transport in via proton symport	master	1	<=>		OK		<=>	C:-2|H:-9|N:-1|O:-4|P:-1
D-Valine transport in via proton symport		cpd00067[e] + cpd03840[e] <=> cpd03840	1281967918	H+[e] + D-Valine[e] <=> H+ + D-Valine	0	2		cpd00067[e] + cpd03840[e] <=> cpd00067 + cpd03840	rxn05715	1281967918	D-Valine transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-12|N:-1|O:-2
D-Mannosamine transport in via proton symport		cpd00067[e] + cpd02241[e] <=> cpd02241	1281967918	H+[e] + D-Mannosamine[e] <=> H+ + D-Mannosamine	0	2		cpd00067[e] + cpd02241[e] <=> cpd00067 + cpd02241	rxn05714	1281967918	D-Mannosamine transport in via proton symport	master	1	=>		OK		<=>	C:-6|H:-15|N:-1|O:-5
D-Asparagine transport in via proton symport		cpd00067[e] + cpd01308[e] <=> cpd01308	1281967918	H+[e] + D-Asparagine[e] <=> H+ + D-Asparagine	0	2		cpd00067[e] + cpd01308[e] <=> cpd00067 + cpd01308	rxn05711	1281967918	D-Asparagine transport in via proton symport	master	1	<=>		OK		<=>	C:-4|H:-9|N:-2|O:-3
D-Galactosamine transport in via proton symport		cpd00067[e] + cpd01524[e] <=> cpd01524	1281967918	H+[e] + D-Galactosamine[e] <=> H+ + D-Galactosamine	0	2		cpd00067[e] + cpd01524[e] <=> cpd00067 + cpd01524	rxn05713	1281967918	D-Galactosamine transport in via proton symport	master	1	=>		OK		<=>	C:-6|H:-15|N:-1|O:-5
Ethylamine transport in via proton symport		cpd00067[e] + cpd00591[e] <=> cpd00591	1281967918	H+[e] + Ethylamine[e] <=> H+ + Ethylamine	0	2		cpd00067[e] + cpd00591[e] <=> cpd00067 + cpd00591	rxn05710	1281967918	Ethylamine transport in via proton symport	master	1	=>		OK		<=>	C:-2|H:-9|N:-1
Formamide transport in via proton symport		cpd00067[e] + cpd00378[e] <=> cpd00378	1281967918	H+[e] + Formamide[e] <=> H+ + Formamide	0	2		cpd00067[e] + cpd00378[e] <=> cpd00067 + cpd00378	rxn05708	1281967918	Formamide transport in via proton symport	master	1	<=>		OK		<=>	C:-1|H:-4|N:-1|O:-1
D-Lysine transport in via proton symport		cpd00067[e] + cpd00549[e] <=> cpd00549	1281967918	H+[e] + D-Lysine[e] <=> H+ + D-Lysine	0	2		cpd00067[e] + cpd00549[e] <=> cpd00067 + cpd00549	rxn05709	1281967918	D-Lysine transport in via proton symport	master	1	=>		OK		<=>	C:-6|H:-16|N:-2|O:-2
Histamine transport in via proton symport		cpd00067[e] + cpd00312[e] <=> cpd00312	1281967918	H+[e] + Histamine[e] <=> H+ + Histamine	0	2		cpd00067[e] + cpd00312[e] <=> cpd00067 + cpd00312	rxn05706	1281967918	Histamine transport in via proton symport	master	1	=>		OK		<=>	C:-5|H:-11|N:-3
Methylamine transport in via proton symport		cpd00067[e] + cpd00187[e] <=> cpd00187	1281967918	H+[e] + Methylamine[e] <=> H+ + Methylamine	0	2		cpd00067[e] + cpd00187[e] <=> cpd00067 + cpd00187	rxn05704	1281967918	Methylamine transport in via proton symport	master	1	=>		OK		<=>	C:-1|H:-7|N:-1
Hydroxylamine transport in via proton symport		cpd00067[e] + cpd00165[e] <=> cpd00165	1281967918	H+[e] + Hydroxylamine[e] <=> H+ + Hydroxylamine	0	2		cpd00067[e] + cpd00165[e] <=> cpd00067 + cpd00165	rxn05703	1281967918	Hydroxylamine transport in via proton symport	master	1	<=>		OK		<=>	H:-4|N:-1|O:-1
b-Methyl-D-Glucoside transport in via proton symport		cpd00067[e] + cpd11603[e] <=> cpd11603	1281967918	H+[e] + b-Methyl-D-Glucoside[e] <=> H+ + b-Methyl-D-Glucoside	0	2		cpd00067[e] + cpd11603[e] <=> cpd00067 + cpd11603	rxn05701	1281967918	b-Methyl-D-Glucoside transport in via proton symport	master	1	<=>		OK		<=>	H:-1
Amygdalin transport in via proton symport		cpd00067[e] + cpd05240[e] <=> cpd05240	1281967918	H+[e] + Amygdalin[e] <=> H+ + Amygdalin	0	2		cpd00067[e] + cpd05240[e] <=> cpd00067 + cpd05240	rxn05700	1281967918	Amygdalin transport in via proton symport	master	1	<=>		OK		<=>	C:-20|H:-28|N:-1|O:-11
Gentiobiose transport in via proton symport		cpd00067[e] + cpd05158[e] <=> cpd05158	1281967918	H+[e] + Gentiobiose[e] <=> H+ + Gentiobiose	0	2		cpd00067[e] + cpd05158[e] <=> cpd00067 + cpd05158	rxn05699	1281967918	Gentiobiose transport in via proton symport	master	1	<=>		OK		<=>	C:-12|H:-23|O:-11
Lactulose transport in via proton symport		cpd00067[e] + cpd04349[e] <=> cpd04349	1281967918	H+[e] + Lactulose[e] <=> H+ + Lactulose	0	2		cpd00067[e] + cpd04349[e] <=> cpd00067 + cpd04349	rxn05698	1281967918	Lactulose transport in via proton symport	master	1	<=>		OK		<=>	C:-12|H:-23|O:-11
D-Psicose transport in via proton symport		cpd00067[e] + cpd03884[e] <=> cpd03884	1281967918	H+[e] + D-Psicose[e] <=> H+ + D-Psicose	0	2		cpd00067[e] + cpd03884[e] <=> cpd00067 + cpd03884	rxn05697	1281967918	D-Psicose transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-13|O:-6
Inulin transport in via proton symport		cpd00067[e] + cpd11602[e] <=> cpd11602	1281967918	H+[e] + Inulin[e] <=> H+ + Inulin	0	2		cpd00067[e] + cpd11602[e] <=> cpd00067 + cpd11602	rxn05695	1281967918	Inulin transport in via proton symport	master	1	<=>		OK		<=>	C:-12|H:-23|O:-11
D-Glucosaminic Acid transport in via proton symport		cpd00067[e] + cpd02351[e] <=> cpd02351	1281967918	H+[e] + Glucosaminate[e] <=> H+ + Glucosaminate	0	2		cpd00067[e] + cpd02351[e] <=> cpd00067 + cpd02351	rxn05696	1281967918	D-Glucosaminic Acid transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-14|N:-1|O:-6
L-Pyroglutamic Acid transport in via proton symport		cpd00067[e] + cpd01293[e] <=> cpd01293	1281967918	H+[e] + 5-Oxoproline[e] <=> H+ + 5-Oxoproline	0	2		cpd00067[e] + cpd01293[e] <=> cpd00067 + cpd01293	rxn05694	1281967918	L-Pyroglutamic Acid transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-7|N:-1|O:-3
Stachyose transport in via proton symport		cpd00067[e] + cpd01133[e] <=> cpd01133	1281967918	H+[e] + Stachyose[e] <=> H+ + Stachyose	0	2		cpd00067[e] + cpd01133[e] <=> cpd00067 + cpd01133	rxn05693	1281967918	Stachyose transport in via proton symport	master	1	<=>		OK		<=>	C:-24|H:-43|O:-21
FUCt		cpd00067[e] + cpd00751[e] <=> cpd00751	1281967918	H+[e] + L-Fucose[e] <=> H+ + L-Fucose	0	2		cpd00067[e] + cpd00751[e] <=> cpd00067 + cpd00751	rxn05691	1281967918	L-Fucose transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-13|O:-5
L-Lyxose transport in via proton symport		cpd00067[e] + cpd01067[e] <=> cpd01067	1281967918	H+[e] + L-Lyxose[e] <=> H+ + L-Lyxose	0	2		cpd00067[e] + cpd01067[e] <=> cpd00067 + cpd01067	rxn05692	1281967918	L-Lyxose transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-11|O:-5
D-Fucose transport in via proton symport		cpd00067[e] + cpd00750[e] <=> cpd00750	1281967918	H+[e] + D-Fucose[e] <=> H+ + D-Fucose	0	2		cpd00067[e] + cpd00750[e] <=> cpd00067 + cpd00750	rxn05690	1281967918	D-Fucose transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-13|O:-5
D-Tagatose transport in via proton symport		cpd00067[e] + cpd00589[e] <=> cpd00589	1281967918	H+[e] + D-Tagatose[e] <=> H+ + D-Tagatose	0	2		cpd00067[e] + cpd00589[e] <=> cpd00067 + cpd00589	rxn05689	1281967918	D-Tagatose transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-13|O:-6
PTRCt2		cpd00067[e] + cpd00118[e] <=> cpd00118	1281967918	H+[e] + PUTR[e] <=> H+ + PUTR	0	2		cpd00067[e] + cpd00118[e] <=> cpd00067 + cpd00118	rxn05687	1281967918	Putrescine transport in via proton symport	master	1	<=>		OK		=>	C:-4|H:-15|N:-2
Pectin transport in via proton symport		cpd00067[e] + cpd11601[e] <=> cpd11601	1281967918	H+[e] + Pectin[e] <=> H+ + Pectin	0	2		cpd00067[e] + cpd11601[e] <=> cpd00067 + cpd11601	rxn05688	1281967918	Pectin transport in via proton symport	master	1	<=>		OK		<=>	H:-1
Tyramine transport in via proton symport		cpd00067[e] + cpd00374[e] <=> cpd00374	1281967918	H+[e] + Tyramine[e] <=> H+ + Tyramine	0	2		cpd00067[e] + cpd00374[e] <=> cpd00067 + cpd00374	rxn05686	1281967918	Tyramine transport in via proton symport	master	1	=>		OK		<=>	C:-8|H:-13|N:-1|O:-1
L-Homoserine transport in via proton symport		cpd00067[e] + cpd00227[e] <=> cpd00227	1281967918	H+[e] + L-Homoserine[e] <=> H+ + L-Homoserine	0	2		cpd00067[e] + cpd00227[e] <=> cpd00067 + cpd00227	rxn05684	1281967918	L-Homoserine transport in via proton symport	master	1	<=>		OK		<=>	C:-4|H:-10|N:-1|O:-3
Adonitol transport in via proton symport		cpd00067[e] + cpd00366[e] <=> cpd00366	1281967918	H+[e] + Ribitol[e] => H+ + Ribitol	0	2		cpd00067[e] + cpd00366[e] <=> cpd00067 + cpd00366	rxn05685	1281967918	Adonitol transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-13|O:-5
BUTt2r		cpd00067[e] + cpd00211[e] <=> cpd00211	1281967918	H+[e] + Butyrate[e] <=> H+ + Butyrate	0	2		cpd00067[e] + cpd00211[e] <=> cpd00067 + cpd00211	rxn05683	1281967918	butanoate transport in via proton symport	master	1	<=>		OK		<=>	C:-4|H:-8|O:-2
ALLTNt6		cpd00067[e] + cpd01092[e] <=> cpd01092	1281967918	H+[e] + Allantoin[e] <=> H+ + Allantoin	0	2		cpd00067[e] + cpd01092[e] <=> cpd00067 + cpd01092	rxn05682	1281967918	allantoin transport in via proton symport	master	1	<=>		OK		<=>	C:-4|H:-7|N:-4|O:-3
DDGLCNt2		cpd00067[e] + cpd00176[e] <=> cpd00176	1281967918	H+[e] + 2-keto-3-deoxygluconate[e] <=> H+ + 2-keto-3-deoxygluconate	0	2		cpd00067[e] + cpd00176[e] <=> cpd00067 + cpd00176	rxn05681	1281967918	2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible	master	1	<=>		OK		<=>	C:-6|H:-10|O:-6
XTSNt2		cpd00067[e] + cpd01217[e] <=> cpd01217	1281967918	H+[e] + Xanthosine[e] <=> H+ + Xanthosine	0	2		cpd00067[e] + cpd01217[e] <=> cpd00067 + cpd01217	rxn05680	1281967918	Xanthosine transport via proton symport	master	1	<=>		OK		<=>	C:-10|H:-13|N:-4|O:-6
DTMPt6		cpd00067[e] + cpd00298[e] <=> cpd00298	1281967918	H+[e] + dTMP[e] <=> H+ + dTMP	0	2		cpd00067[e] + cpd00298[e] <=> cpd00067 + cpd00298	rxn05679	1281967918	dTMP transport in/out via proton symport	master	1	<=>		OK		<=>	C:-10|H:-15|N:-2|O:-8|P:-1
HQNt6		cpd00067[e] + cpd00415[e] <=> cpd00415	1281967918	H+[e] + Quinol[e] <=> H+ + Quinol	0	2		cpd00067[e] + cpd00415[e] <=> cpd00067 + cpd00415	rxn05678	1281967918	hydroquinone transport in/out via proton symport	master	1	<=>		OK		<=>	C:-6|H:-7|O:-2
CITR_Lt2		cpd00067[e] + cpd00274[e] <=> cpd00274	1281967918	H+[e] + Citrulline[e] <=> H+ + Citrulline	0	2		cpd00067[e] + cpd00274[e] <=> cpd00067 + cpd00274	rxn05674	1281967918	L-Citrulline transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-14|N:-3|O:-3
MAN6Pt6		cpd00067[e] + cpd00235[e] <=> cpd00235	1281967918	H+[e] + D-Mannose6-phosphate[e] <=> H+ + D-Mannose6-phosphate	0	2		cpd00067[e] + cpd00235[e] <=> cpd00067 + cpd00235	rxn05676	1281967918	MAN6P transport in/out via proton symport	master	1	<=>		OK		<=>	C:-6|H:-13|O:-9|P:-1
GALURt2		cpd00067[e] + cpd00280[e] <=> cpd00280	1281967918	H+[e] + D-Galacturonate[e] <=> H+ + D-Galacturonate	0	2	|TC-2.A.1.14|2.A.1.14	cpd00067[e] + cpd00280[e] <=> cpd00067 + cpd00280	rxn05673	1281967918	galacturonate transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-10|O:-7
XYLt2		cpd00067[e] + cpd00154[e] <=> cpd00154	1281967918	H+[e] + Xylose[e] <=> H+ + Xylose	0	2		cpd00067[e] + cpd00154[e] <=> cpd00067 + cpd00154	rxn05671	1281967918	D-xylose transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-11|O:-5
GLU-Dt2		cpd00067[e] + cpd00186[e] <=> cpd00186	1281967918	H+[e] + D-Glutamate[e] <=> H+ + D-Glutamate	0	2		cpd00067[e] + cpd00186[e] <=> cpd00067 + cpd00186	rxn05672	1281967918	D-glutamate transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-9|N:-1|O:-4
UREAt		cpd00073[e] <=> cpd00073	1281967918	Urea[e] <=> Urea	0	2		cpd00073[e] <=> cpd00073	rxn05667	1281967918	Urea transport via facilitate diffusion	master	1	<=>		SP|OK		<=>	C:-1|H:-4|N:-2|O:-1
VALt2		cpd00067[e] + cpd00156[e] <=> cpd00156	1281967918	H+[e] + L-Valine[e] <=> H+ + L-Valine	0	2		cpd00067[e] + cpd00156[e] <=> cpd00067 + cpd00156	rxn05669	1281967918	L-valine transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-12|N:-1|O:-2
UMPt6		cpd00067[e] + cpd00091[e] <=> cpd00091	1281967918	H+[e] + UMP[e] <=> H+ + UMP	0	2		cpd00067[e] + cpd00091[e] <=> cpd00067 + cpd00091	rxn05665	1281967918	UMP transport in via proton symport	master	1	<=>		OK		<=>	C:-9|H:-13|N:-2|O:-9|P:-1
TRPt2		cpd00065[e] + cpd00067[e] <=> cpd00065	1281967918	Tryptophan[e] + H+[e] <=> Tryptophan + H+	0	2	|TC-2.A.3.1|2.A.3.1	cpd00065[e] + cpd00067[e] <=> cpd00065 + cpd00067	rxn05663	1281967918	L-tryptophan transport in via proton symport	master	1	<=>		OK		<=>	C:-11|H:-13|N:-2|O:-2
TMPt6		cpd00067[e] + cpd01622[e] <=> cpd01622	1281967918	H+[e] + Trimetaphosphate[e] <=> H+ + Trimetaphosphate	0	2		cpd00067[e] + cpd01622[e] <=> cpd00067 + cpd01622	rxn05661	1281967918	TMP transport in/out via proton symport	master	1	<=		OK		<=>	H:-1|O:-9|P:-3
THMt6		cpd00067[e] + cpd00151[e] <=> cpd00151	1281967918	H+[e] + Thymine[e] <=> H+ + Thymine	0	2		cpd00067[e] + cpd00151[e] <=> cpd00067 + cpd00151	rxn05659	1281967918	thymine transport in/out via proton symport	master	1	<=>		OK		<=>	C:-5|H:-7|N:-2|O:-2
THIOGabc		cpd00001 + cpd00002 + cpd01415[e] <=> cpd00008 + cpd00009 + cpd01415	1281967918	H2O + ATP + Thioglycolate[e] <=> ADP + Phosphate + H+ + Thioglycolate	-6.817	0.717554		cpd00001 + cpd00002 + cpd01415[e] <=> cpd00008 + cpd00009 + cpd00067 + cpd01415	rxn05657	1281967918	thioglycolate transport via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	C:-2|H:-3|O:-2|S:-1
SULAabc		cpd00001 + cpd00002 + cpd09878[e] <=> cpd00008 + cpd00009 + cpd09878	1281967918	H2O + ATP + Sulfoacetate[e] <=> ADP + Phosphate + H+ + Sulfoacetate	-6.817	0.717554		cpd00001 + cpd00002 + cpd09878[e] <=> cpd00008 + cpd00009 + cpd00067 + cpd09878	rxn05656	1281967918	sulfoacetate transport via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	C:-2|H:-2|O:-5|S:-1
SUCpts		cpd00061 + cpd00076[e] <=> cpd00020 + cpd01693	1281967918	PEP + SUCR[e] <=> Pyruvate + 6-Phosphosucrose	-9.11	0.635473		cpd00061 + cpd00076[e] <=> cpd00020 + cpd01693	rxn05655	1281967918	sucrose transport via PEP:Pyr PTS	master	1	<=>		OK	|WdblCWW:-1|WdblCH2:-1|OCCC:-1|PrimOH:-1|WketoneW:1|WCH3:1|OCCO:1	<=>	C:-12|H:-22|O:-11
SUCCt2b		cpd00036[e] + cpd00067[e] <=> cpd00036	1281967918	Succinate[e] + H+[e] <=> Succinate + H+	0	2	|TC-2.A.56|2.A.56	cpd00036[e] + cpd00067[e] <=> cpd00036 + cpd00067	rxn05654	1281967918	succinate transporter in/out via proton symport	master	1	<=>		OK		<=>	C:-4|H:-5|O:-4
SPMDt3		cpd00067[e] + cpd00264 <=> cpd00264[e]	1281967918	H+[e] + Spermidine <=> H+ + Spermidine[e]	0	2		cpd00067[e] + cpd00264 <=> cpd00067 + cpd00264[e]	rxn05652	1281967918	spermidine transport out via proton antiport	master	1	<=		OK		<=>	C:7|H:21|N:3
SRB_Lt		cpd00212[e] <=> cpd00212	1281967918	L-Sorbose[e] <=> L-Sorbose	0	2		cpd00212[e] <=> cpd00212	rxn05653	1281967918	L-sorbose reversible transport	master	1	<=>		OK		<=>	C:-6|H:-12|O:-6
SO4t2		cpd00048[e] + cpd00067[e] <=> cpd00048	1281967918	SLF[e] + H+[e] <=> SLF + H+	0	2	|TC-2.A.53|2.A.53	cpd00048[e] + cpd00067[e] <=> cpd00048 + cpd00067	rxn05651	1281967918	sulfate transport in via proton symport	master	1	<=>		UN|OK		<=>	H:-1|O:-4|S:-1
SBTt2		cpd00067[e] + cpd00588[e] <=> cpd00588	1281967918	H+[e] + Sorbitol[e] <=> H+ + Sorbitol	0	2		cpd00067[e] + cpd00588[e] <=> cpd00067 + cpd00588	rxn05648	1281967918	D-sorbitol transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-15|O:-6
SER_Dt6		cpd00067[e] + cpd00550[e] <=> cpd00550	1281967918	H+[e] + D-Serine[e] <=> H+ + D-Serine	0	2	|TC-2.A.3.1|2.A.3.1	cpd00067[e] + cpd00550[e] <=> cpd00067 + cpd00550	rxn05649	1281967918	D-serine transport in/out via proton symport	master	1	<=>		OK		<=>	C:-3|H:-8|N:-1|O:-3
SALCpts		cpd00061 + cpd01030[e] <=> cpd00020 + cpd03698	1281967918	PEP + Salicin[e] <=> Pyruvate + Salicin-6P	-9.11	0.635473		cpd00061 + cpd01030[e] <=> cpd00020 + cpd03698	rxn05647	1281967918	salicin transport via PEP:Pyr PTS	master	1	<=>		OK	|WdblCWW:-1|WdblCH2:-1|OCCC:-1|PrimOH:-1|WketoneW:1|WCH3:1|OCCO:1	<=>	C:-13|H:-18|O:-7
RIBFLVt6		cpd00067[e] + cpd00220[e] <=> cpd00220	1281967918	H+[e] + RIBF[e] <=> H+ + RIBF	0	2		cpd00067[e] + cpd00220[e] <=> cpd00067 + cpd00220	rxn05645	1281967918	riboflavin transport in/out via proton symport	master	1	<=>		OK		<=>	C:-17|H:-21|N:-4|O:-6
RMNt		cpd00067[e] + cpd00396[e] <=> cpd00396	1281967918	H+[e] + L-Rhamnose[e] <=> H+ + L-Rhamnose	0	2		cpd00067[e] + cpd00396[e] <=> cpd00067 + cpd00396	rxn05646	1281967918	L-rhamnose transport via proton symport	master	1	<=>		OK		<=>	C:-6|H:-13|O:-5
RIBabc1		cpd00001 + cpd00002 + cpd00105 <=> cpd00008 + cpd00009 + cpd00105[e]	1281967918	H2O + ATP + D-Ribose <=> ADP + Phosphate + H+ + D-Ribose[e]	-6.817	0.717554	|TC-3.A.1.2|3.A.1.2	cpd00001 + cpd00002 + cpd00105 <=> cpd00008 + cpd00009 + cpd00067 + cpd00105[e]	rxn05644	1281967918	D-ribose transport out via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	C:5|H:10|O:5
RAFFINt2		cpd00067[e] + cpd00382[e] <=> cpd00382	1281967918	H+[e] + Melitose[e] <=> H+ + Melitose	0	2		cpd00067[e] + cpd00382[e] <=> cpd00067 + cpd00382	rxn05643	1281967918	Raffinose transport in via proton symport	master	1	<=>		OK		<=>	C:-18|H:-33|O:-16
PURabc1		cpd00001 + cpd00002 + cpd01132 <=> cpd00008 + cpd00009 + cpd01132[e]	1281967918	H2O + ATP + Puromycin <=> ADP + Phosphate + H+ + Puromycin[e]	-6.817	0.717554		cpd00001 + cpd00002 + cpd01132 <=> cpd00008 + cpd00009 + cpd00067 + cpd01132[e]	rxn05641	1281967918	Puromycin efflux  via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	C:22|H:30|N:7|O:5
PSER_Lt6		cpd00067[e] + cpd00738[e] <=> cpd00738	1281967918	H+[e] + phosphoserine[e] <=> H+ + phosphoserine	0	2		cpd00067[e] + cpd00738[e] <=> cpd00067 + cpd00738	rxn05640	1281967918	O-Phospho-L-serine transport in via proton symport	master	1	<=>		OK		<=>	C:-3|H:-8|N:-1|O:-6|P:-1
PSER_Dt6		cpd00067[e] + cpd01665[e] <=> cpd01665	1281967918	H+[e] + D-O-Phosphoserine[e] <=> H+ + D-O-Phosphoserine	0	2		cpd00067[e] + cpd01665[e] <=> cpd00067 + cpd01665	rxn05639	1281967918	D-O-Phosphoserine transport in/out via proton symport	master	1	<=>		OK		<=>	C:-3|H:-8|N:-1|O:-6|P:-1
PROt2		cpd00067[e] + cpd00129[e] <=> cpd00129	1281967918	H+[e] + L-Proline[e] <=> H+ + L-Proline	0	2		cpd00067[e] + cpd00129[e] <=> cpd00067 + cpd00129	rxn05638	1281967918	L-proline transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-9|N:-1|O:-2
proline betaine transport in via ABC system		cpd00001 + cpd00002 + cpd11573[e] <=> cpd00008 + cpd00009 + cpd11573	1281967918	H2O + ATP + Octodecanoyl-ACP[e] => ADP + Phosphate + H+ + Octodecanoyl-ACP	-6.817	0.717554		cpd00001 + cpd00002 + cpd11573[e] <=> cpd00008 + cpd00009 + cpd00067 + cpd11573	rxn05637	1281967918	proline betaine transport in via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	C:-29|H:-55|N:-2|O:-8|P:-1|R:-1|S:-1
PRIt2		cpd00067[e] + cpd00300[e] <=> cpd00300	1281967918	H+[e] + Urate[e] <=> H+ + Urate	0	2		cpd00067[e] + cpd00300[e] <=> cpd00067 + cpd00300	rxn05636	1281967918	Uric acid permease	master	1	<=>		OK		<=>	C:-5|H:-5|N:-4|O:-3
PPIabc		cpd00001 + cpd00002 + cpd00012[e] <=> cpd00008 + cpd00009 + cpd00012	1281967918	H2O + ATP + PPi[e] <=> ADP + Phosphate + PPi + H+	-6.817	0.717554		cpd00001 + cpd00002 + cpd00012[e] <=> cpd00008 + cpd00009 + cpd00012 + cpd00067	rxn05635	1281967918	diphosphate transport in via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	H:-2|O:-7|P:-2
PPAt6		cpd00067[e] + cpd00141[e] <=> cpd00141	1281967918	H+[e] + Propanoate[e] <=> H+ + Propanoate	0	2	|TC-2.A.20|2.A.20	cpd00067[e] + cpd00141[e] <=> cpd00067 + cpd00141	rxn05634	1281967918	propionate transport in/out via proton symport	master	1	<=>		OK		<=>	C:-3|H:-6|O:-2
PEPt6		cpd00061[e] + cpd00067[e] <=> cpd00061	1281967918	PEP[e] + H+[e] <=> PEP + H+	0	2		cpd00061[e] + cpd00067[e] <=> cpd00061 + cpd00067	rxn05630	1281967918	Phosphoenolpyruvate transport in via proton symport	master	1	<=>		OK		<=>	C:-3|H:-4|O:-6|P:-1
ORNt2		cpd00064[e] + cpd00067[e] <=> cpd00064	1281967918	Ornithine[e] + H+[e] <=> Ornithine + H+	0	2		cpd00064[e] + cpd00067[e] <=> cpd00064 + cpd00067	rxn05628	1281967918	ornithine transport in via proton symport	master	1	=>		OK		<=>	C:-5|H:-14|N:-2|O:-2
PALAt2		cpd00067[e] + cpd01200[e] <=> cpd01200	1281967918	H+[e] + Palatinose[e] <=> H+ + Palatinose	0	2		cpd00067[e] + cpd01200[e] <=> cpd00067 + cpd01200	rxn05629	1281967918	Palatinose transport in via proton symport	master	1	<=>		OK		<=>	C:-12|H:-23|O:-11
NO3t2		cpd00067[e] + cpd00209[e] <=> cpd00209	1281967918	H+[e] + Nitrate[e] <=> H+ + Nitrate	0	2		cpd00067[e] + cpd00209[e] <=> cpd00067 + cpd00209	rxn05627	1281967918	nitrate transport in via proton symport	master	1	<=>		OK		<=>	H:-1|N:-1|O:-3
NO2t3		cpd00067[e] + cpd00075 <=> cpd00075[e]	1281967918	H+[e] + Nitrite <=> H+ + Nitrite[e]	0	2		cpd00067[e] + cpd00075 <=> cpd00067 + cpd00075[e]	rxn05626	1281967918	nitrite transport out via proton antiport	master	1	=>		OK		<=>	H:-1|N:1|O:2
Nicotinic acid uptake		cpd08325[e] <=> cpd08325	1281967918	NAC[e] => NAC	0	2		cpd08325[e] <=> cpd08325	rxn05623	1281967918	Nicotinic acid uptake	master	1	<=>		OK		<=>	C:-17|H:-18|N:-2|O:-2
NO2t2ir		cpd00067[e] + cpd00075[e] <=> cpd00075	1281967918	H+[e] + Nitrite[e] <=> H+ + Nitrite	0	2		cpd00067[e] + cpd00075[e] <=> cpd00067 + cpd00075	rxn05625	1281967918	nitrite transport in via proton symport	master	1	<=>		OK		<=>	H:-1|N:-1|O:-2
NAabcO		cpd00001 + cpd00002 + cpd00971 <=> cpd00008 + cpd00009 + cpd00971[e]	1281967918	H2O + ATP + Na+ <=> ADP + Phosphate + H+ + Na+[e]	-6.817	0.717554		cpd00001 + cpd00002 + cpd00971 <=> cpd00008 + cpd00009 + cpd00067 + cpd00971[e]	rxn05622	1281967918	sodium transport out via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	Na:1
MSO3abc		cpd00001 + cpd00002 + cpd08023[e] <=> cpd00008 + cpd00009 + cpd08023	1281967918	H2O + ATP + methanesulfonate[e] <=> ADP + Phosphate + H+ + methanesulfonate	-6.817	0.717554		cpd00001 + cpd00002 + cpd08023[e] <=> cpd00008 + cpd00009 + cpd00067 + cpd08023	rxn05621	1281967918	methanesulfonate transport via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	C:-1|H:-3|O:-3|S:-1
MOPSabc		cpd00001 + cpd00002 + cpd11575[e] <=> cpd00008 + cpd00009 + cpd11575	1281967918	H2O + ATP + MOPS[e] <=> ADP + Phosphate + H+ + MOPS	-6.817	0.717554		cpd00001 + cpd00002 + cpd11575[e] <=> cpd00008 + cpd00009 + cpd00067 + cpd11575	rxn05620	1281967918	MOPS transport via ABC system	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	C:-7|H:-14|N:-1|O:-4|S:-1
